Region,Category,Avg_Margin_Pct,Margin_Gap_vs_Top_Quartile,Avg_Discount_Pct,Avg_Price_vs_Competitor,Avg_Inventory_Coverage_Days,Spot_Sales_Ratio_Avg,Online_Sales_Ratio_Avg,Fulfillment_Rate_Avg,Recommendations
East,Clothing,43.99,17.05,16.78,2679.38,61.6,64.45,35.55,100.0,Margin is 17.1pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
East,Electronics,42.53,18.51,15.11,2710.19,102.5,39.86,60.14,100.0,Margin is 18.5pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
East,Food,45.7,15.34,15.19,2640.73,90.4,54.91,45.09,100.0,Margin is 15.3pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
East,Furniture,47.71,13.33,16.87,2482.29,98.1,66.27,33.73,100.0,Margin is 13.3pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
North,Clothing,50.47,10.56,15.54,2437.95,62.4,51.8,48.2,100.0,Margin is 10.6pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
North,Electronics,52.06,8.98,13.57,2796.25,70.8,49.52,50.48,100.0,Margin is 9.0pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
North,Food,44.03,17.01,15.68,3116.42,119.4,57.29,42.71,100.0,Margin is 17.0pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
North,Furniture,47.73,13.31,15.27,2564.37,59.4,51.87,48.13,100.0,Margin is 13.3pp below top performers – review pricing or reduce costs.
South,Clothing,41.0,20.03,15.87,2720.63,156.6,51.41,48.59,98.72,Margin is 20.0pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
South,Electronics,45.07,15.97,13.87,2564.48,90.3,54.37,45.63,100.0,Margin is 16.0pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
South,Food,45.17,15.86,14.76,2549.85,76.9,48.1,51.9,100.0,Margin is 15.9pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
South,Furniture,51.53,9.5,16.34,2654.58,86.6,48.38,51.62,100.0,Margin is 9.5pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
West,Clothing,40.15,20.88,17.13,2836.39,106.4,55.28,44.72,100.0,Margin is 20.9pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
West,Electronics,41.99,19.04,13.98,2803.83,102.6,31.21,68.79,100.0,Margin is 19.0pp below top performers – review pricing or reduce costs. | Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
West,Food,60.25,0.79,12.93,2330.8,120.5,60.49,39.51,100.0,Over-stocked (>60 days coverage) – reduce order quantities to free up working capital.
West,Furniture,30.86,30.18,15.57,2877.44,54.8,44.24,55.76,100.0,Margin is 30.2pp below top performers – review pricing or reduce costs.
